id,prediction
3,4
6,4
9,3
11,2
12,4
14,4
15,4
16,3
18,4
19,4
21,3
22,4
23,4
24,2
25,4
26,4
27,4
29,3
30,4
33,3
34,3
36,4
37,4
38,3
39,4
40,4
41,4
42,3
43,4
44,4
45,2
47,1
48,3
49,4
50,2
51,4
53,3
55,4
57,3
60,1
61,3
62,4
67,2
68,3
69,4
70,4
75,3
76,4
77,3
78,4
79,4
81,4
82,4
84,3
85,4
86,1
87,4
92,4
93,2
95,4
96,4
97,4
99,4
100,2
101,2
102,4
104,4
106,3
107,4
111,4
114,1
116,4
117,4
118,3
120,1
121,2
123,4
125,1
127,4
128,4
129,4
130,1
131,2
132,3
133,4
134,4
137,2
138,4
139,4
140,4
141,3
142,4
144,4
146,1
147,3
148,4
149,4
150,4
152,4
153,4
154,2
155,4
156,4
157,4
158,4
159,4
160,4
162,4
163,4
165,4
166,3
167,4
168,4
169,1
170,1
174,4
175,3
177,3
178,3
179,4
180,3
182,4
184,4
185,3
186,4
187,4
188,4
190,4
191,3
192,4
193,3
196,4
198,3
202,4
203,4
205,3
206,4
207,4
208,2
209,2
210,4
212,4
213,4
216,3
219,2
222,2
223,4
224,2
225,4
226,4
227,2
229,4
231,3
233,3
234,4
235,3
236,3
237,4
238,4
239,4
240,4
242,4
244,4
246,4
250,4
251,4
254,4
255,4
256,1
257,4
258,3
259,4
260,4
261,4
262,4
263,2
264,3
267,4
270,4
272,4
273,3
274,4
277,4
278,4
280,1
282,3
283,4
284,4
285,2
286,2
287,4
288,4
291,1
292,4
293,2
294,1
297,4
298,4
301,1
303,4
304,3
306,1
308,3
309,4
310,2
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,1
319,4
320,4
324,2
325,4
326,3
327,2
328,1
329,4
330,4
331,3
332,4
333,4
335,4
337,1
340,4
342,2
343,3
345,4
347,4
349,1
350,3
351,3
352,4
353,2
354,4
355,3
356,4
357,4
359,2
360,1
361,4
362,3
363,4
365,3
368,4
369,4
370,4
373,2
375,4
376,4
377,4
378,4
379,3
380,3
382,2
383,4
384,3
385,2
386,4
387,4
390,4
391,4
394,3
395,3
397,1
400,3
401,3
402,4
403,4
404,4
405,2
407,4
408,3
409,2
410,2
411,4
413,4
416,4
417,3
419,3
420,3
421,4
423,4
426,2
427,2
429,4
430,4
431,1
432,4
433,4
434,3
436,4
439,2
441,4
443,4
445,4
446,3
447,4
448,3
450,3
452,3
453,3
454,2
455,4
456,4
457,2
458,4
462,4
463,1
464,4
465,4
466,4
467,1
469,1
470,4
471,4
474,3
475,4
477,4
478,4
479,4
480,4
481,4
482,1
483,4
484,3
485,4
486,2
488,4
489,2
490,4
491,4
492,4
493,4
494,1
496,4
497,4
498,4
500,3
501,3
505,4
506,4
508,3
509,3
510,3
511,4
514,4
515,3
516,2
517,3
519,4
520,4
521,1
523,4
525,4
526,2
527,3
528,2
529,2
531,4
532,3
533,4
534,4
536,4
537,4
538,4
542,2
543,4
545,4
546,3
547,1
549,2
550,3
553,3
554,4
555,3
557,4
559,4
560,4
561,3
562,4
565,4
566,4
568,4
569,4
570,4
571,4
572,1
575,3
576,4
579,4
580,4
582,4
583,3
585,4
586,2
589,2
590,3
591,4
593,4
594,4
595,4
597,4
598,4
599,4
600,4
601,3
602,2
604,4
606,1
608,4
609,4
610,4
612,1
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
624,3
627,4
628,2
629,3
630,4
634,4
637,2
638,4
639,4
640,4
641,4
642,1
643,3
644,4
645,3
646,2
648,4
649,4
650,4
651,4
652,4
654,3
655,1
656,4
658,4
659,4
660,2
661,3
666,4
667,4
668,4
669,2
670,3
671,4
675,4
677,3
679,2
680,4
681,4
682,4
683,4
684,3
685,4
686,2
690,3
692,4
693,3
694,4
696,4
699,2
700,4
701,4
702,1
704,4
706,4
707,2
708,4
709,1
712,3
713,4
714,4
715,4
716,4
717,4
718,3
719,4
720,4
721,4
722,4
724,4
727,4
728,4
729,3
731,4
733,4
734,4
735,4
736,4
737,4
738,2
739,3
741,4
742,2
744,4
745,4
746,4
748,4
749,3
752,3
753,3
754,1
756,1
757,4
758,4
759,4
760,3
761,1
764,1
765,4
768,4
769,4
770,4
772,3
774,3
775,4
776,4
777,4
778,3
781,4
782,4
783,4
785,3
786,2
788,4
789,3
790,4
791,4
792,1
794,4
795,4
796,4
797,3
798,2
800,4
801,3
802,4
803,4
804,4
805,4
806,2
807,4
808,4
809,4
812,3
813,4
814,3
815,4
817,4
819,4
820,4
822,4
825,2
826,1
827,4
828,3
830,3
832,4
833,4
834,2
836,4
837,4
839,4
841,3
843,3
846,2
847,2
848,4
849,3
850,4
851,3
852,4
853,4
855,4
858,4
859,4
861,3
862,4
864,4
866,4
868,4
870,4
872,4
873,4
874,4
875,3
877,3
879,4
880,2
882,4
883,4
884,4
885,4
888,3
889,4
891,1
893,4
894,4
895,3
896,4
897,4
899,4
901,4
903,4
904,3
905,2
909,2
910,4
911,3
912,4
914,4
917,4
918,2
919,4
920,4
921,4
922,3
926,2
927,2
929,4
931,4
933,3
934,1
936,4
937,3
938,4
939,4
940,4
941,2
942,3
943,4
945,4
946,2
948,4
950,4
952,3
953,4
955,4
956,4
959,4
960,4
961,2
962,3
964,3
967,4
968,1
969,3
971,2
972,4
974,4
975,4
976,4
978,2
980,4
981,2
982,4
983,3
984,4
985,3
986,4
987,4
988,4
990,4
991,4
992,1
994,2
995,2
996,4
999,2
1000,4
1001,4
1002,4
1003,3
1005,4
1006,4
1007,4
1009,3
1010,4
1012,4
1013,4
1014,4
1015,4
1016,1
1018,4
1019,2
1020,3
1021,4
1022,4
1023,4
1024,4
1027,4
1028,1
1030,4
1031,3
1032,4
1033,2
1034,4
1036,3
1037,4
1038,1
1039,3
1040,4
1042,1
1043,4
1045,4
1046,3
1049,3
1050,2
1051,4
1052,4
1054,4
1055,3
1056,3
1058,1
1059,3
1062,4
1064,2
1065,1
1066,4
1067,2
1068,4
1069,3
1071,3
1074,4
1076,2
1077,4
1079,3
1080,3
1081,3
1082,4
1085,3
1086,2
1087,3
1089,3
1090,4
1091,1
1092,1
1093,4
1094,4
1095,2
1097,3
1098,4
1099,4
1100,3
1102,4
1103,4
1104,3
1106,2
1107,4
1108,3
1109,4
1110,2
1112,4
1113,4
1114,4
1115,4
1116,4
1117,4
1118,3
1119,1
1122,3
1123,4
1124,4
1125,4
1126,4
1128,4
1129,4
1130,4
1132,2
1135,4
1138,3
1139,2
1140,3
1141,4
1142,4
1143,2
1144,4
1146,4
1147,4
1148,4
1149,3
1151,4
1155,4
1156,3
1159,4
1160,3
1161,2
1163,3
1165,2
1166,1
1167,4
1169,3
1170,4
1173,2
1180,2
1181,4
1182,1
1183,3
1184,3
1185,4
1186,4
1187,4
1188,2
1189,4
1190,2
1193,4
1195,2
1196,4
1197,4
1198,3
1199,3
1200,2
1201,4
1203,3
1204,3
1205,4
1206,4
1208,3
1210,2
1211,2
1212,4
1213,1
1214,1
1216,3
1217,4
1218,4
1220,1
1222,3
1224,4
1225,3
1226,3
1227,3
1228,4
1229,3
1230,2
1231,4
1232,4
1234,4
1235,4
1236,4
1238,2
1239,4
1241,3
1242,4
1243,4
1244,4
1245,4
1247,2
1248,4
1251,3
1252,4
1253,4
1254,4
1255,4
1257,3
1258,4
1260,4
1262,1
1263,4
1264,4
1265,4
1266,3
1267,4
1269,4
1270,4
1271,4
1275,1
1276,4
1278,3
1279,3
1280,4
1281,4
1282,4
1283,1
1284,4
1286,2
1287,1
1289,4
1292,4
1295,4
1297,4
1298,4
1299,4
1300,4
1301,3
1302,4
1303,4
1305,4
1309,4
1310,4
1311,4
1312,4
1313,4
1316,3
1318,4
1320,3
1321,4
1322,3
1326,4
1327,4
1329,4
1330,4
1331,4
1333,4
1336,4
1337,3
1339,2
1340,4
1341,4
1342,4
1343,4
1346,3
1347,3
1348,2
1349,4
1350,4
1351,4
1352,4
1355,2
1356,4
1357,3
1359,2
1362,4
1364,4
1365,4
1368,4
1369,4
1372,4
1373,3
1376,4
1377,4
1380,4
1381,3
1383,1
1384,4
1385,4
1386,4
1390,4
1391,4
1392,4
1393,4
1394,4
1395,1
1396,4
1397,4
1399,3
1401,4
1402,3
1403,4
1404,4
1405,4
1409,4
1410,2
1411,3
1412,4
1413,4
1414,3
1415,4
1416,4
1418,4
1419,4
1421,4
1422,4
1423,3
1424,4
1425,1
1426,1
1427,4
1428,4
1429,1
1432,3
1433,1
1434,4
1436,4
1438,4
1439,3
1440,4
1441,2
1442,4
1443,4
1445,3
1447,3
1448,4
1449,4
1452,3
1453,4
1454,2
1455,4
1457,3
1458,4
1459,4
1460,4
1464,4
1466,3
1468,4
1469,4
1470,4
1471,2
1473,3
1474,4
1475,1
1480,4
1481,1
1482,2
1485,2
1486,3
1488,3
1490,3
1491,2
1494,2
1497,3
1498,1
1499,3
1500,4
1503,1
1504,2
1505,4
1506,4
1507,1
1508,4
1510,4
1511,4
1512,4
1513,4
1515,4
1516,2
1518,4
1519,4
1520,4
1523,4
1524,3
1526,4
1527,3
1529,4
1530,4
1531,4
1532,4
1533,4
1534,3
1535,2
1536,4
1538,3
1539,4
1540,4
1542,3
1544,2
1546,4
1548,4
1550,4
1551,3
1552,3
1553,4
1555,4
1556,3
1557,3
1559,4
1560,4
1561,4
